Name:String(32):Required,Description:String(256),IP Address:Subnets(a.b.c.d/m#....):Required,Model Name:String(32),Software Version:String(32),Network Device Groups:String(100)(Type#Root Name#Name|...):Required,Authentication:Protocol:String(6),Authentication:Shared Secret:String(128),EnableKeyWrap:Boolean(true|false),EncryptionKey:String(ascii:16|hexa:32),AuthenticationKey:String(ascii:20|hexa:40),InputFormat:String(32),SNMP:Version:Enumeration(1|2c|3),SNMP:RO Community:String(32),SNMP:Username:String(32),SNMP:Security Level:Enumeration(Auth|No Auth|Priv),SNMP:Authentication Protocol:Enumeration(MD5|SHA),SNMP:Authentication Password:String(32),SNMP:Privacy Protocol:Enumeration(DES|AES128|AES192|AES256|3DES),SNMP:Privacy Password:String(32),SNMP:Polling Interval:Integer:600-86400 seconds,SNMP:Is Link Trap Query:Boolean(true|false),SNMP:Is MAC Trap Query:Boolean(true|false),SNMP:Originating Policy Services Node:String(32),SGA:Device Id:String(32),SGA:Device Password:String(256),SGA:Environment Data Download Interval:Integer:1-2147040000 seconds,SGA:Peer Authorization Policy Download Interval:Integer:1-2147040000 seconds,SGA:Reauthentication Interval:Integer:1-2147040000 seconds,SGA:SGACL List Download Interval:Integer:1-2147040000 seconds,SGA:Is Other SGA Devices Trusted:Boolean(true|false),SGA:Notify this device about SGA configuration changes:String(ENABLE_USING_CLI|ENABLE_USING_COA|DISABLE_ALL),SGA:Include this device when deploying Security Group Tag Mapping Updates:Boolean(true|false),Deployment:EXEC Mode Username:String(32),Deployment:EXEC Mode Password:String(32),Deployment:Enable Mode Password:String(32),SGA:PAC issue date:Date,SGA:PAC expiration date:Date,SGA:PAC issued by:String,TACACS:Shared Secret:String(128),TACACS:Connect Mode Options:String (OFF|ON_LEGACY|ON_DRAFT_COMPLIANT),Profile:String(128):Required,coaPort:Integer(128):Required,DtlsRequired:Boolean(true|false),DtlsCoaPort:Integer(128),DtlsIssuerCertificate:String(128),DtlsDnsName:String(100),SGA:CoA Coa Source Host:String,Authentication:Second Shared Secret:String(128),Enable Multi Shared Secret:Boolean(true|false)
CL2022NAD14,,10.1.1.13/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD15,,10.1.1.14/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD16,,10.1.1.15/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD17,,10.1.1.16/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD18,,10.1.1.17/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD19,,10.1.1.18/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD20,,10.1.1.19/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD21,,10.1.1.20/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD22,,10.1.1.21/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD23,,10.1.1.22/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD24,,10.1.1.23/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD25,,10.1.1.24/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD26,,10.1.1.25/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD27,,10.1.1.26/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD28,,10.1.1.27/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD29,,10.1.1.28/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD30,,10.1.1.29/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD31,,10.1.1.30/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD32,,10.1.1.31/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD33,,10.1.1.32/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD34,,10.1.1.33/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD35,,10.1.1.34/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD36,,10.1.1.35/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD37,,10.1.1.36/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD38,,10.1.1.37/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD39,,10.1.1.38/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD40,,10.1.1.39/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD41,,10.1.1.40/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD42,,10.1.1.41/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD43,,10.1.1.42/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD44,,10.1.1.43/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD45,,10.1.1.44/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD46,,10.1.1.45/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD47,,10.1.1.46/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD48,,10.1.1.47/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD49,,10.1.1.48/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD50,,10.1.1.49/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD51,,10.1.1.50/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD52,,10.1.1.51/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD53,,10.1.1.52/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD54,,10.1.1.53/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD55,,10.1.1.54/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD56,,10.1.1.55/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD57,,10.1.1.56/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD58,,10.1.1.57/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD59,,10.1.1.58/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD60,,10.1.1.59/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD61,,10.1.1.60/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD62,,10.1.1.61/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD63,,10.1.1.62/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD64,,10.1.1.63/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD65,,10.1.1.64/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD66,,10.1.1.65/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD67,,10.1.1.66/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD68,,10.1.1.67/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD69,,10.1.1.68/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD70,,10.1.1.69/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD71,,10.1.1.70/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD72,,10.1.1.71/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD73,,10.1.1.72/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD74,,10.1.1.73/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD75,,10.1.1.74/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD76,,10.1.1.75/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD77,,10.1.1.76/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD78,,10.1.1.77/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD79,,10.1.1.78/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD80,,10.1.1.79/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD81,,10.1.1.80/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD82,,10.1.1.81/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD83,,10.1.1.82/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD84,,10.1.1.83/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
CL2022NAD85,,10.1.1.84/32,,,Location#All Locations|IPSEC#Is IPSEC Device#No|Device Type#All Device Types,RADIUS,cisco123,FALSE,,,,,,,,,,,,,,,,,,,,,,,ENABLE_USING_COA,,,,,,,,,,Cisco,1700,FALSE,2083,,,,,
